Year,Event,Table,RowData
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Chicago White Sox', '74', '60', '.552', '8']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Cleveland Blues', '69', '67', '.507', '14']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Washington Senators', '61', '75', '.449', '22']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Detroit Tigers', '52', '83', '.385', '30½']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Baltimore Orioles', '50', '88', '.362', '34']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,['1902 American League Team Standings']
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,['1902 American League Team Review\nHitting Statistics League Leaderboard']
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Statistic', 'Team', '#']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Base on Balls', 'Baltimore', '417']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Batting Average', 'Cleveland', '.289']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Doubles', 'Washington', '261']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Hits', 'Cleveland', '1,401']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Home Runs', 'Washington', '47']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['On Base Percentage', 'Baltimore', '.342']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Runs', 'Philadelphia', '775']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Slugging Average', 'Washington', '.395']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Stolen Bases', 'Chicago', '265']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Triples', 'Baltimore', '107']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Statistic', 'Team', '#']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,['1902 American League Team Review\nPitching Statistics League Leaderboard']
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Statistic', 'Team', '#']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Complete Games', 'Washington', '130']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['ERA', 'Boston', '3.02']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Fewest Hits Allowed', 'Cleveland', '1,199']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Fewest Home Runs Allowed', 'Detroit', '20']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Fewest Walks Allowed', 'Washington', '312']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Saves', 'Cleveland', '3']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,['Detroit']
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Shutouts', 'Cleveland', '16']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Strikeouts', 'Philadelphia', '455']"
1902,YEAR IN REVIEW : 1902 AMERICAN LEAGUE,No Caption,"['Statistic', 'Team', '#']"
